,discount_percentage
0,61%
1,60%
2, nan 
3,64%
4,45%
5,43%
6,56%
7,69%
8,44%
9,63%
10,22%
11,57%
12,17%
13,75%
14,53%
15,40%
16,43%
17,69%
18,58%
19,38%
20,38%
21,53%
22,65%
23,48%
24,75%
25,61%
26,59%
27,28%
28,43%
29,57%
30,50%
31,89%
32,28%
33,50%
34,50%
35,15%
36,45%
37,54%
38,11%
39,51%
40,91%
41,91%
42,64%
43,50%
44,43%
45,80%
46,49%
47,43%
48,0%
49,27%
50,32%
51,19%
52,65%
53,14%
54,22%
55,65%
56,78%
57,44%
58,50%
59,51%
60,85%
61,13%
62,27%
63,42%
64,60%
65,55%
66,28%
67,80%
68,56%
69,67%
70,44%
71,75%
72,66%
73,6%
74,90%
75,17%
76,28%
77,65%
78,50%
79,23%
80,33%
81,47%
82,75%
83, NAN 
84,0%
85,40%
86,55%
87,33%
88,25%
89, nan 
90,55%
91,74%
92,50%
93,76%
94, NAN 
95,0%
96,35%
97,80%
98,63%
99,0%
100,54%
101,53%
102,0%
103,62%
104,13%
105,69%
106,56%
107, nan 
108,46%
109,51%
110,58%
111,57%
112,0%
113,75%
114,46%
115,60%
116,46%
117,50%
118,61%
119,39%
120,59%
121,60%
122,61%
123,28%
124,14%
125,11%
126,39%
127,33%
128,62%
129,20%
130,20%
131,42%
132,51%
133,55%
134,39%
135,79%
136,0%
137,49%
138,26%
139,49%
140,49%
141,53%
142,43%
143,22%
144,27%
145,55%
146,6%
147,22%
148,3%
149,21%
150,53%
151,52%
152,57%
153,50%
154,14%
155,43%
156,22%
157,86%
158,57%
159,29%
160,48%
161,80%
162,38%
163,38%
164,40%
165,17%
166,55%
167,23%
168,61%
169,32%
170,28%
171,43%
172,44%
173,33%
